code,name,city,state,fare,adj_fare,year
ABQ,Albuquerque International Sunport,Albuquerque,NM,166.52,262.67,1997
PVD,Theodore Francis Green State,Providence,RI,247.68,390.71,1997
MEM,Memphis International,Memphis,TN,366.33,577.87,1997
RIC,Richmond International,Richmond,VA,443.08,698.95,1997
OKC,Will Rogers World,Oklahoma City,OK,200.31,315.99,1997
BOI,Boise Air Terminal,Boise,ID,216.52,341.55,1997
LGB,Long Beach Airport,Long Beach,CA,180.41,284.59,1997
GEG,Spokane International,Spokane,WA,200.19,315.8,1997
ORF,Norfolk International,Norfolk,VA,353.15,557.09,1997
ANC,Ted Stevens Anchorage International,Anchorage,AK,345.75,545.41,1997
SDF,Louisville International-Standiford Field,Louisville,KY,227.89,359.49,1997
CHS,Charleston AFB/International,Charleston,SC,367.71,580.06,1997
GRR,Gerald R. Ford International,Grand Rapids,MI,362.72,572.19,1997
RNO,Reno/Tahoe International,Reno,NV,135.11,213.13,1997
TUS,Tucson International,Tucson,AZ,230.09,362.96,1997
OGG,Kahului Airport,Kahului,HI,53.85,84.95,1997
ELP,El Paso International,El Paso,TX,158.09,249.37,1997
ALB,Albany International,Albany,NY,399,629.42,1997
TUL,Tulsa International,Tulsa,OK,200.1,315.65,1997
DSM,Des Moines International,Des Moines,IA,348.45,549.68,1997
BHM,Birmingham-Shuttlesworth International,Birmingham,AL,253.57,400,1997
ROC,Greater Rochester International,Rochester,NY,393.8,621.21,1997
SYR,Syracuse Hancock International,Syracuse,NY,376.66,594.17,1997
GSP,Greenville-Spartanburg International,Greer,SC,423.93,668.74,1997
MSN,Dane County Regional-Truax Field,Madison,WI,365.79,577.02,1997
PWM,Portland International Jetport,Portland,ME,414.72,654.21,1997
LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,215.83,340.47,1997
MHT,Manchester-Boston Regional,Manchester,NH,392.71,619.49,1997
SAV,Savannah/Hilton Head International,Savannah,GA,320.1,504.94,1997
TYS,McGhee Tyson,Knoxville,TN,419.24,661.34,1997
KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,49.18,77.58,1997
ISP,Long Island MacArthur,Islip,NY,272.9,430.49,1997
LIH,Lihue Airport,Lihue,HI,42.68,67.32,1997
GSO,Piedmont Triad International,Greensboro/High Point,NC,430.85,679.65,1997
PNS,Pensacola International,Pensacola,FL,359.29,566.77,1997
HPN,Westchester County,White Plains,NY,574.13,905.67,1997
ICT,Wichita Dwight D Eisenhower National,Wichita,KS,307.56,485.17,1997
COS,City of Colorado Springs Municipal,Colorado Springs,CO,180.52,284.77,1997
PIE,St Pete Clearwater International,St. Petersburg,FL,150,236.62,1997
DAY,James M Cox/Dayton International,Dayton,OH,365.13,575.99,1997
FAT,Fresno Yosemite International,Fresno,CA,335.19,528.76,1997
BTV,Burlington International,Burlington,VT,419.44,661.66,1997
MDT,Harrisburg International,Harrisburg,PA,374.28,590.41,1997
LEX,Blue Grass,Lexington,KY,338.87,534.56,1997
PSP,Palm Springs International,Palm Springs,CA,355.01,560.01,1997
MYR,Myrtle Beach International,Myrtle Beach,SC,257.37,406,1997
CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,397.97,627.79,1997
MAF,Midland International Air and Space Port,Midland/Odessa,TX,122.97,193.99,1997
EUG,Mahlon Sweet Field,Eugene,OR,309.76,488.64,1997
SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,317.52,500.88,1997
